iter	Passed	Remaining
0	148	148392
1	152	75966
2	156	51876
3	159	39790
4	164	32639
5	167	27759
6	171	24277
7	172	21430
8	174	19222
9	176	17439
10	177	15981
11	179	14769
12	180	13738
13	182	12855
14	184	12094
15	186	11469
16	188	10893
17	189	10344
18	190	9831
19	191	9366
20	191	8945
21	192	8564
22	193	8215
23	194	7893
24	194	7598
25	195	7326
26	196	7073
27	197	6839
28	197	6621
29	198	6419
30	199	6233
31	200	6054
32	200	5888
33	201	5730
34	202	5580
35	203	5438
36	203	5304
37	204	5178
38	205	5057
39	205	4943
40	206	4834
41	207	4731
42	208	4632
43	208	4537
44	209	4447
45	210	4361
46	211	4278
47	211	4199
48	212	4124
49	213	4051
50	214	3982
51	214	3915
52	215	3850
53	216	3788
54	216	3727
55	217	3669
56	218	3612
57	219	3558
58	219	3506
59	220	3455
60	221	3405
61	221	3358
62	222	3312
63	223	3267
64	224	3224
65	224	3182
66	225	3141
67	226	3097
68	226	3060
69	227	3023
70	228	2990
71	229	2955
72	229	2920
73	230	2886
74	231	2854
75	232	2822
76	232	2791
77	233	2760
78	234	2730
79	234	2701
80	235	2673
81	236	2646
82	237	2619
83	237	2592
84	238	2564
85	238	2539
86	239	2512
87	240	2489
88	240	2466
89	241	2443
90	242	2422
91	243	2400
92	243	2379
93	244	2358
94	245	2337
95	246	2317
96	246	2297
97	247	2277
98	248	2259
99	248	2240
100	249	2222
101	250	2201
102	250	2183
103	251	2166
104	252	2148
105	252	2132
106	253	2116
107	254	2099
108	254	2084
109	255	2068
110	256	2053
111	257	2038
112	257	2023
113	258	2009
114	259	1994
115	259	1979
116	260	1966
117	261	1953
118	261	1939
119	262	1926
120	263	1913
121	264	1900
122	264	1886
123	265	1873
124	265	1861
125	266	1849
126	267	1838
127	267	1825
128	268	1815
129	269	1803
130	270	1793
131	271	1782
132	271	1771
133	272	1761
134	273	1750
135	273	1740
136	274	1730
137	275	1719
138	275	1709
139	276	1699
140	277	1690
141	278	1680
142	278	1671
143	279	1662
144	280	1654
145	281	1646
146	282	1637
147	282	1628
148	283	1619
149	284	1611
150	285	1602
151	285	1594
152	286	1586
153	287	1578
154	288	1570
155	288	1562
156	289	1554
157	290	1546
158	290	1538
159	291	1531
160	292	1523
161	293	1515
162	293	1508
163	294	1501
164	295	1494
165	296	1487
166	296	1480
167	297	1473
168	298	1466
169	298	1459
170	299	1452
171	300	1445
172	301	1439
173	301	1432
174	302	1426
175	303	1419
176	303	1413
177	304	1406
178	305	1400
179	306	1394
180	306	1386
181	307	1380
182	307	1374
183	308	1368
184	309	1362
185	310	1356
186	310	1351
187	311	1345
188	312	1339
189	312	1333
190	313	1328
191	314	1322
192	315	1317
193	315	1312
194	316	1307
195	317	1301
196	318	1296
197	318	1291
198	319	1285
199	320	1280
200	320	1275
201	321	1270
202	322	1265
203	323	1260
204	323	1255
205	324	1250
206	325	1245
207	325	1241
208	326	1236
209	327	1231
210	328	1226
211	328	1222
212	329	1217
213	330	1212
214	330	1208
215	331	1203
216	332	1199
217	333	1194
218	333	1190
219	334	1185
220	335	1182
221	336	1177
222	336	1173
223	337	1169
224	338	1165
225	338	1160
226	339	1156
227	340	1152
228	341	1148
229	341	1144
230	342	1139
231	343	1136
232	343	1132
233	344	1128
234	345	1124
235	346	1120
236	346	1116
237	347	1112
238	348	1108
239	348	1104
240	349	1101
241	350	1097
242	351	1093
243	351	1089
244	352	1086
245	353	1082
246	354	1079
247	354	1075
248	355	1071
249	356	1068
250	356	1064
251	357	1061
252	358	1057
253	358	1054
254	359	1050
255	360	1047
256	361	1044
257	361	1040
258	362	1037
259	363	1033
260	363	1030
261	364	1027
262	365	1023
263	366	1020
264	366	1017
265	367	1014
266	368	1011
267	369	1007
268	369	1004
269	370	1001
270	371	998
271	371	995
272	372	991
273	373	988
274	374	986
275	374	983
276	375	980
277	376	977
278	376	974
279	377	971
280	378	968
281	379	965
282	379	962
283	380	959
284	381	956
285	381	953
286	382	950
287	383	947
288	384	944
289	384	941
290	385	939
291	386	936
292	386	933
293	387	930
294	388	928
295	389	925
296	389	922
297	390	920
298	391	917
299	391	914
300	392	911
301	393	909
302	394	906
303	394	903
304	395	901
305	396	898
306	396	895
307	397	893
308	398	890
309	398	887
310	399	885
311	400	882
312	401	880
313	401	877
314	402	875
315	403	872
316	403	870
317	404	867
318	405	865
319	406	862
320	406	860
321	407	857
322	408	855
323	408	852
324	409	850
325	410	848
326	410	845
327	411	843
328	412	841
329	413	838
330	413	836
331	414	833
332	415	831
333	415	829
334	416	827
335	417	825
336	418	824
337	419	822
338	420	820
339	421	818
340	422	816
341	423	814
342	423	811
343	424	809
344	425	807
345	425	804
346	426	802
347	427	800
348	427	798
349	428	796
350	429	793
351	430	791
352	430	789
353	431	787
354	432	785
355	432	783
356	433	780
357	434	778
358	434	776
359	435	774
360	436	772
361	437	770
362	437	768
363	438	766
364	439	764
365	439	762
366	440	760
367	441	758
368	442	756
369	442	754
370	443	752
371	444	749
372	444	747
373	445	746
374	446	744
375	447	742
376	447	740
377	448	738
378	449	736
379	450	734
380	450	732
381	451	730
382	452	728
383	452	726
384	453	724
385	454	722
386	454	720
387	455	718
388	456	717
389	457	715
390	457	713
391	458	711
392	459	709
393	460	707
394	460	705
395	461	703
396	462	702
397	462	700
398	463	698
399	464	696
400	465	694
401	465	692
402	466	690
403	467	689
404	467	687
405	468	685
406	469	683
407	470	682
408	470	680
409	471	678
410	472	676
411	472	674
